time:160.873,vol:788.392
time:160.981,vol:788.748
time:161.125,vol:788.921
time:161.272,vol:788.982
time:161.38,vol:789.2
time:161.523,vol:789.617
time:161.674,vol:789.857
time:161.777,vol:790.009
time:161.922,vol:790.154
time:162.072,vol:790.295
time:162.174,vol:790.369
time:162.322,vol:790.423
time:162.423,vol:790.454
time:162.522,vol:790.518
time:162.624,vol:790.534
time:162.777,vol:790.626
time:162.923,vol:790.682
time:163.023,vol:790.692
time:163.179,vol:790.752
time:163.322,vol:790.858
time:163.472,vol:790.895
time:163.58,vol:790.915
time:163.724,vol:790.929
time:163.873,vol:790.96
time:163.981,vol:791.112
time:164.123,vol:791.636
time:164.272,vol:792.454
time:164.378,vol:792.811
time:164.524,vol:793.182
time:164.623,vol:793.496
time:164.782,vol:793.805
time:164.921,vol:793.955
time:165.072,vol:794.093
time:165.184,vol:794.148
time:165.325,vol:794.195
time:165.423,vol:794.208
time:165.522,vol:794.225
time:165.673,vol:794.266
time:165.778,vol:794.275
time:165.923,vol:794.283
time:166.024,vol:794.293
time:166.179,vol:794.298
time:166.322,vol:794.298
time:166.474,vol:794.298
time:166.581,vol:794.3
time:166.724,vol:794.3
time:166.826,vol:794.3
time:166.98,vol:794.3
time:167.124,vol:794.75
time:167.274,vol:796.246
time:167.388,vol:797.79
time:167.523,vol:801.88
time:167.671,vol:805.808
time:167.781,vol:810.726
time:167.921,vol:812.183
time:168.024,vol:812.834
time:168.122,vol:814.414
time:168.224,vol:814.528
time:168.381,vol:816.275
time:168.523,vol:816.951
time:168.624,vol:817.343
time:168.73,vol:818.754
time:168.873,vol:820.039
time:168.98,vol:820.952
time:169.123,vol:822.412
time:169.272,vol:823.56
time:169.377,vol:824.458
time:169.525,vol:825.708
time:169.623,vol:826.68
time:169.779,vol:830.757
time:169.923,vol:832.074
time:170.072,vol:834.586
time:170.181,vol:835.37
