time:88.8887,vol:705.807
time:88.9893,vol:705.823
time:89.1398,vol:705.832
time:89.289,vol:706.782
time:89.4381,vol:708.338
time:89.5471,vol:709.634
time:89.688,vol:710.51
time:89.7917,vol:710.75
time:89.889,vol:711.109
time:90.038,vol:711.579
time:90.1388,vol:712.011
time:90.2921,vol:712.181
time:90.4399,vol:712.305
time:90.5405,vol:712.46
time:90.6885,vol:712.729
time:90.8383,vol:713.282
time:90.9388,vol:713.862
time:91.0886,vol:714.23
time:91.2398,vol:714.457
time:91.3415,vol:714.686
time:91.4885,vol:714.827
time:91.6394,vol:714.954
time:91.741,vol:715.018
time:91.8886,vol:715.101
time:91.9886,vol:715.124
time:92.1383,vol:715.157
time:92.2906,vol:715.165
time:92.3895,vol:715.168
time:92.49,vol:715.172
time:92.6384,vol:715.175
time:92.7899,vol:715.178
time:92.89,vol:715.185
time:92.9892,vol:715.188
time:93.0897,vol:715.206
time:93.238,vol:715.218
time:93.389,vol:715.241
time:93.4883,vol:715.263
time:93.6009,vol:715.268
time:93.742,vol:715.276
time:93.8895,vol:715.278
time:93.9891,vol:715.283
time:94.0911,vol:715.284
time:94.2389,vol:715.29
time:94.3999,vol:715.305
time:94.5489,vol:715.306
time:94.6916,vol:715.307
time:94.8392,vol:715.307
time:94.9393,vol:715.307
time:95.0889,vol:715.307
time:95.2404,vol:715.307
time:95.3432,vol:715.307
time:95.4888,vol:715.307
time:95.5904,vol:715.307
time:95.6892,vol:715.309
time:95.8385,vol:715.551
time:95.9886,vol:716.318
time:96.0881,vol:717.746
time:96.1892,vol:718.659
time:96.3385,vol:720.814
time:96.4893,vol:721.827
time:96.6394,vol:722.064
time:96.7891,vol:722.216
time:96.8924,vol:722.374
time:97.0384,vol:722.606
time:97.1915,vol:723.13
time:97.2895,vol:723.196
time:97.3919,vol:723.209
time:97.5415,vol:723.301
time:97.6886,vol:723.356
time:97.8398,vol:723.398
time:97.9888,vol:723.408
time:98.1392,vol:723.473
time:98.2878,vol:723.499
time:98.4394,vol:723.523
time:98.5884,vol:723.691
time:98.692,vol:724.286
time:98.8392,vol:724.99
time:98.939,vol:725.39
time:99.0384,vol:725.857
time:99.1428,vol:726.553
time:99.2905,vol:727.298
time:99.4385,vol:727.61
time:99.5421,vol:727.977
time:99.6892,vol:728.289
time:99.7902,vol:728.431
time:99.9411,vol:729.386
time:100.088,vol:729.592
time:100.196,vol:729.778
time:100.344,vol:730.645
time:100.489,vol:730.696
time:100.589,vol:730.697
time:100.692,vol:730.699
